node	type
floppy muscles	disease
muscle tone atonic	disease
tonic - clonic seizures	disease
"reflex, acoustic, abnormal"	disease
"reflex, ankle, absent"	disease
"reflex, triceps, absent"	disease
"reflex, biceps, absent"	disease
"reflex, anal, absent"	disease
psychomotor impairment	disease
abnormal deep tendon reflex	disease
non-epileptic convulsion	disease
single seizure	disease
atonic absence seizures	disease
unilateral hypotonia	disease
developmental psychomotor disorders	disease
"bulbocavernosus reflex, decreased"	disease
bulbocavernousus reflex absent	disease
palmo-mental reflex	disease
"reflex, anal, decreased"	disease
"reflex, ankle, abnormal"	disease
"reflex, ankle, decreased"	disease
"reflex, biceps, abnormal"	disease
"reflex, biceps, decreased"	disease
"reflex, gag, decreased"	disease
"reflex, knee, abnormal"	disease
"reflex, knee, decreased"	disease
"reflex, moro, asymmetric"	disease
"reflex, triceps, abnormal"	disease
"reflex, triceps, decreased"	disease
convulsive seizures	disease
"seizures, focal"	disease
"seizures, sensory"	disease
mitochondrial diseases	disease
neonatal hypotonia	disease
nonepileptic seizures	disease
convulsions	disease
absence seizures	disease
epileptic seizures	disease
myoclonic seizures	disease
generalized absence seizures	disease
atherosclerosis	disease
colorectal carcinoma	disease
colorectal neoplasms	disease
hypercholesterolemia	disease
"hypercholesterolemia, familial"	disease
"kidney failure, chronic"	disease
peripheral neuropathy	disease
tangier disease	disease
apolipoprotein a-i deficiency	disease
hypoalphalipoproteinemias	disease
hyperlipoproteinemia type iia	disease
tangier disease neuropathy	disease
colorectal cancer	disease
atherogenesis	disease
hyperlipoproteinemia type iib	disease
"hypoalphalipoproteinemia, familial"	disease
familial hdl deficiency	disease
high density lipoprotein deficiency	disease
low density lipoprotein cholesterol level quantitative trait locus 2	disease
"hdl deficiency, type 2"	disease
pathological accumulation of air in tissues	disease
hyaline membrane disease	disease
pulmonary hypertension	disease
pulmonary fibrosis	disease
"respiratory distress syndrome, newborn"	disease
hamman-rich syndrome	disease
respiratory distress syndrome	disease
idiopathic pulmonary fibrosis	disease
abnormality of the cornea	disease
"surfactant metabolism dysfunction, pulmonary, 3"	disease
sideroblastic anemia	disease
ataxia	disease
cytopenia	disease
congenital anemia	disease
"ataxia, sensory"	disease
"ataxia, motor"	disease
"ataxia, truncal"	disease
abnormal coordination	disease
"ataxia, appendicular"	disease
"tremor, rubral"	disease
"anemia, sideroblastic, and spinocerebellar ataxia"	disease
hypersensitivity	disease
pneumonia	disease
lobar pneumonia	disease
disease exacerbation	disease
experimental lung inflammation	disease
allergic reaction	disease
pneumonitis	disease
cleft upper lip	disease
retinitis pigmentosa	disease
age related macular degeneration	disease
stargardt's disease	disease
stargardt disease 1 (disorder)	disease
"retinal dystrophy, early onset severe"	disease
cone-rod dystrophy 3 (disorder)	disease
retinitis pigmentosa 19	disease
"macular degeneration, age-related, 2"	disease
juvenile macular degeneration	disease
adenocarcinoma	disease
"bone diseases, developmental"	disease
burkitt lymphoma	disease
esophageal neoplasms	disease
failure to thrive	disease
congenital heart defects	disease
"myeloid leukemia, chronic"	disease
melanoma	disease
"neoplasms, experimental"	disease
precancerous conditions	disease
congenital musculoskeletal anomalies	disease
"adenocarcinoma, basal cell"	disease
"adenocarcinoma, oxyphilic"	disease
"carcinoma, cribriform"	disease
"carcinoma, granular cell"	disease
"adenocarcinoma, tubular"	disease
"condition, preneoplastic"	disease
large cell carcinoma of lung	disease
malignant neoplasm of esophagus	disease
carcinogenesis	disease
precursor b-cell lymphoblastic leukemia	disease
precursor t-cell lymphoblastic leukemia-lymphoma	disease
congenital heart defects and skeletal malformations syndrome	disease
cardiomegaly	disease
hypertensive disease	disease
cardiac hypertrophy	disease
curling ulcer	disease
duodenal ulcer	disease
pancreatic neoplasm	disease
cerebrovascular accident	disease
alcohol abuse	disease
malignant neoplasm of pancreas	disease
mood disorders	disease
epithelial ovarian cancer	disease
acute cerebrovascular accidents	disease
heart failure	disease
congestive heart failure	disease
left-sided heart failure	disease
"heart failure, right-sided"	disease
acetyl-coa: carboxylase deficiency	disease
myocardial failure	disease
heart decompensation	disease
insulin resistance	disease
obesity	disease
insulin sensitivity	disease
pancreatic ductal adenocarcinoma	disease
long chain acyl-coa dehydrogenase deficiency	disease
hyperammonemia	disease
arthrogryposis	disease
rhabdomyolysis	disease
weight gain	disease
liver failure	disease
medium-chain acyl-coenzyme a dehydrogenase deficiency	disease
necrotizing enterocolitis	disease
bipolar disorder	disease
deficiency of butyryl-coa dehydrogenase	disease
2-methylbutyryl-coa dehydrogenase deficiency	disease
anoxemia	disease
anoxia	disease
hypertrophic cardiomyopathy	disease
hypoxia	disease
hypoxemia	disease
very long chain acyl-coa dehydrogenase deficiency	disease
ketotic hypoglycemia	disease
deficiency of acetyl-coa acetyltransferase	disease
cytosolic acetoacetyl-coa thiolase deficiency	disease
inflammation	disease
brain ischemia	disease
"injuries, acute brain"	disease
brain injuries	disease
brain lacerations	disease
"brain injuries, focal"	disease
cerebral ischemia	disease
amyloidosis	disease
renal cell carcinoma	disease
growth disorders	disease
learning disorders	disease
memory disorders	disease
movement disorders	disease
muscular dystrophy	disease
nervous system disorder	disease
poisoning	disease
tremor	disease
saturnine tremor	disease
prenatal injuries	disease
senile tremor	disease
memory impairment	disease
persistent tremor	disease
continuous tremor	disease
intermittent tremor	disease
fine tremor	disease
coarse tremor	disease
massive tremor	disease
action tremor	disease
passive tremor	disease
static tremor	disease
resting tremor	disease
darkness tremor	disease
"tremor, perioral"	disease
"tremor, limb"	disease
"tremor, muscle"	disease
nerve tremors	disease
"tremor, neonatal"	disease
amphetamine-related disorders	disease
amphetamine addiction	disease
amphetamine abuse	disease
etat marbre	disease
conventional (clear cell) renal cell carcinoma	disease
organophosphorus poisoning	disease
organophosphate poisoning	disease
adult learning disorders	disease
learning disturbance	disease
learning disabilities	disease
age-related memory disorders	disease
"memory disorder, semantic"	disease
"memory disorder, spatial"	disease
memory loss	disease
pill rolling tremor	disease
"tremor, semirhythmic"	disease
chromophobe renal cell carcinoma	disease
sarcomatoid renal cell carcinoma	disease
collecting duct carcinoma of the kidney	disease
papillary renal cell carcinoma	disease
developmental academic disorder	disease
involuntary quiver	disease
organothiophosphonate poisoning	disease
organothiophosphate poisoning	disease
neoplasm invasiveness	disease
degenerative polyarthritis	disease
osteoarthrosis deformans	disease
"respiratory distress syndrome, adult"	disease
infantile cerebellar-retinal degeneration	disease
optic atrophy 9	disease
alloxan diabetes	disease
"diabetes mellitus, experimental"	disease
leukodystrophy	disease
streptozotocin diabetes	disease
peroxisomal disorders	disease
peroxisomal acyl-coa oxidase deficiency	disease
unipolar depression	disease
major depressive disorder	disease
"hyperparathyroidism, secondary"	disease
osteogenesis imperfecta	disease
spondyloenchondrodysplasia	disease
spondyloenchondrodysplasia with immune dysregulation	disease
juvenile-onset still disease	disease
juvenile arthritis	disease
juvenile psoriatic arthritis	disease
left ventricular hypertrophy	disease
centronuclear myopathy	disease
"myopathies, nemaline"	disease
congenital myopathy (disorder)	disease
zebra body myopathy	disease
eichsfeld type congenital muscular dystrophy	disease
x-linked centronuclear myopathy	disease
tubular aggregate myopathy	disease
"nemaline myopathy, childhood onset"	disease
congenital fiber type disproportion	disease
congenital muscular dystrophy (disorder)	disease
distal muscular dystrophies	disease
congenital structural myopathy	disease
"cardiomyopathy, hypertrophic, familial"	disease
"myopathy, actin, congenital, with excess of thin myofilaments"	disease
"myopathy, centronuclear, autosomal dominant"	disease
"nemaline myopathy 3, with intranuclear rods"	disease
"myopathy, actin, congenital, with cores"	disease
autosomal recessive centronuclear myopathy	disease
autosomal dominant myotubular myopathy	disease
actin-accumulation myopathy	disease
"myopathy, scapulohumeroperoneal"	disease
"cholestasis, extrahepatic"	disease
cerebrovascular disorders	disease
ehlers-danlos syndrome	disease
endometriosis	disease
fetal growth retardation	disease
focal glomerulosclerosis	disease
"hepatitis, chronic"	disease
ischemia	disease
kidney diseases	disease
liver diseases	disease
marfan syndrome	disease
moyamoya disease	disease
myocardial infarction	disease
systemic scleroderma	disease
"hyalinosis, segmental glomerular"	disease
liver dysfunction	disease
chronic persistent hepatitis	disease
"aortic aneurysm, thoracic"	disease
endometrioma	disease
"aortic aneurysm, thoracoabdominal"	disease
congenital aneurysm of ascending aorta	disease
chronic active hepatitis	disease
cryptogenic chronic hepatitis	disease
nephrogenic fibrosing dermopathy	disease
copper-overload cirrhosis	disease
cakut	disease
"aortic aneurysm, familial thoracic 6"	disease
moyamoya disease 1	disease
multisystemic smooth muscle dysfunction syndrome	disease
moyamoya disease 5	disease
carcinoma	disease
congenital ocular coloboma (disorder)	disease
craniosynostosis	disease
dysostoses	disease
dystonia	disease
sensorineural hearing loss (disorder)	disease
animal mammary neoplasms	disease
"mammary neoplasms, experimental"	disease
myocardial ischemia	disease
anaplastic carcinoma	disease
"carcinoma, spindle-cell"	disease
undifferentiated carcinoma	disease
carcinomatosis	disease
pigmented hairy epidermal nevus	disease
cranioschisis	disease
craniofacial abnormalities	disease
"dystonia, paroxysmal"	disease
"dystonia, diurnal"	disease
congenital neurologic anomalies	disease
"dystonia, limb"	disease
"mammary carcinoma, animal"	disease
sensory hearing loss	disease
juvenile-onset dystonia	disease
"iris coloboma with ptosis, hypertelorism, and mental retardation"	disease
becker nevus syndrome	disease
malformations of cortical development	disease
"cardiomyopathy, dilated"	disease
malignant neoplasm of stomach	disease
refractive errors	disease
stomach neoplasms	disease
conduction disorder of the heart	disease
familial dilated cardiomyopathy	disease
ostium secundum atrial septal defect	disease
"cardiomyopathy, familial idiopathic"	disease
ametropia	disease
hereditary diffuse gastric cancer	disease
left ventricular noncompaction	disease
"cardiomyopathy, familial hypertrophic, 11"	disease
atrial septal defect 5	disease
"cardiomyopathy, dilated, 1r"	disease
left ventricular noncompaction 4	disease
left ventricular noncompaction cardiomyopathy	disease
"osteoporosis, age-related"	disease
neoplastic cell transformation	disease
osteoporosis	disease
"osteoporosis, senile"	disease
congenital coloboma of iris	disease
post-traumatic osteoporosis	disease
acute coronary syndrome	disease
"deafness, autosomal dominant 20"	disease
baraitser-winter syndrome 2	disease
visceral myopathy	disease
"visceral myopathy, familial"	disease
megacystis microcolon intestinal hypoperistalsis syndrome	disease
megaduodenum and-or megacystis	disease
"visceral neuropathy, familial, autosomal dominant"	disease
segmental glomerulosclerosis	disease
"bleeding disorder, platelet-type, 15"	disease
autosomal dominant macrothrombocytopenia	disease
"cardiomyopathy, dilated, 1aa"	disease
"cardiomyopathy, familial hypertrophic, 23, with or without ventricular noncompaction"	disease
astrocytoma	disease
fibrodysplasia ossificans progressiva	disease
glioma	disease
myositis ossificans	disease
subependymal giant cell astrocytoma	disease
acute lung injury	disease
mixed gliomas	disease
juvenile pilocytic astrocytoma	disease
diffuse astrocytoma	disease
anaplastic astrocytoma	disease
protoplasmic astrocytoma	disease
gemistocytic astrocytoma	disease
fibrillary astrocytoma	disease
pilocytic astrocytoma	disease
childhood cerebral astrocytoma	disease
mixed oligoastrocytoma	disease
malignant glioma	disease
cerebral astrocytoma	disease
intracranial astrocytoma	disease
grade i astrocytoma	disease
gastric adenocarcinoma	disease
microsatellite instability	disease
replication error phenotype	disease
situs inversus	disease
asplenia syndrome	disease
polysplenia syndrome	disease
situs ambiguus	disease
situs ambiguous	disease
"heterotaxy, visceral, 4, autosomal"	disease
heterotaxy syndrome	disease
right atrial isomerism	disease
left atrial isomerism	disease
ciliopathies	disease
hereditary hemorrhagic telangiectasia	disease
familial primary pulmonary hypertension	disease
familial pulmonary arterial hypertension	disease
hereditary hemorrhagic telangiectasia-related pulmonary arterial hypertension	disease
osler-rendu-weber syndrome 2	disease
pulmonary arterial hypertension	disease
idiopathic pulmonary arterial hypertension	disease
vascular remodeling	disease
pulmonary arterial remodeling	disease
aminoacylase 1 deficiency	disease
"hearing loss, cisplatin-induced, susceptibility to"	disease
hyperemia	disease
spinal cord diseases	disease
venous engorgement	disease
reactive hyperemia	disease
adenosine deaminase deficiency	disease
active hyperemia	disease
severe combined immunodeficiency due to adenosine deaminase deficiency	disease
"scid due to ada deficiency, early-onset"	disease
partial adenosine deaminase deficiency	disease
omenn syndrome	disease
reticulate acropigmentation of kitamura	disease
stage iv skin melanoma	disease
dowling-degos disease	disease
alzheimer disease 18	disease
"spastic paraplegia, hereditary"	disease
aicardi-goutieres syndrome	disease
symmetrical dyschromatosis of extremities	disease
"striatonigral degeneration, infantile (disorder)"	disease
aicardi-goutieres syndrome 1	disease
aicardi-goutieres syndrome 2	disease
pseudo-torch syndrome	disease
aicardi-goutieres syndrome 6	disease
polycystic ovary syndrome	disease
sclerocystic ovaries	disease
drug abuse	disease
drug habituation	disease
drug use disorders	disease
"organic mental disorders, substance-induced"	disease
substance dependence	disease
substance use disorders	disease
substance-related disorders	disease
substance abuse problem	disease
drug dependence	disease
prescription drug abuse	disease
substance withdrawal syndrome	disease
drug withdrawal symptoms	disease
withdrawal symptoms	disease
small cell carcinoma of lung	disease
hyperactive behavior	disease
"hyperkinesia, generalized"	disease
"deafness, autosomal recessive 44"	disease
asthma	disease
diabetic angiopathies	disease
"microangiopathy, diabetic"	disease
"obesity, morbid"	disease
birth weight	disease
"diabetes mellitus, non-insulin-dependent"	disease
fibrosis	disease
"cardiomyopathies, primary"	disease
"myocardial diseases, secondary"	disease
"ventricular dysfunction, left"	disease
benign hereditary chorea	disease
cardiomyopathies	disease
neurodevelopmental disorders	disease
cirrhosis	disease
"dyskinesia, familial, with facial myokymia"	disease
"chorea, benign familial"	disease
lethal congenital contracture syndrome 8	disease
ulcerative colitis	disease
"leukemia, myelocytic, acute"	disease
"acute myeloid leukemia, m1"	disease
acute myeloid leukemia (aml-m2)	disease
miosis disorder	disease
overactive detrusor	disease
squamous cell carcinoma of esophagus	disease
akathisia	disease
overactive bladder	disease
psychomotor agitation	disease
essential hypertension	disease
familial m  ni  re disease	disease
"encephalopathy, toxic"	disease
toxic encephalitis	disease
neurotoxicity syndromes	disease
"cerebral palsy, spastic quadriplegic, 1"	disease
"cerebral palsy, spastic quadriplegic, 3"	disease
fatty liver	disease
steatohepatitis	disease
alcohol use disorder	disease
alcoholic intoxication	disease
malignant neoplasm of larynx	disease
cerebral infarction	disease
laryngeal neoplasm	disease
mouth neoplasms	disease
pharyngeal neoplasms	disease
malignant neoplasm of mouth	disease
malignant neoplasm of pharynx	disease
wernicke-korsakoff syndrome	disease
hangover from alcohol	disease
"cerebral infarction, left hemisphere"	disease
"cerebral infarction, right hemisphere"	disease
anterior choroidal artery infarction	disease
subcortical infarction	disease
posterior choroidal artery infarction	disease
"parkinson disease, late-onset"	disease
cholestasis	disease
profound mental retardation	disease
"mental retardation, psychosocial"	disease
mental deficiency	disease
cholestasis in newborn	disease
hypermethioninemia due to adenosine kinase deficiency	disease
gastrointestinal neoplasms	disease
glomerulonephritis	disease
hyperalgesia	disease
pain	disease
pyemia	disease
septicemia	disease
gastric ulcer	disease
"pain, burning"	disease
ache	disease
radiating pain	disease
sepsis	disease
allodynia	disease
"pain, splitting"	disease
"pain, crushing"	disease
"hyperalgesia, primary"	disease
"hyperalgesia, secondary"	disease
tactile allodynia	disease
"hyperalgesia, thermal"	disease
"pain, migratory"	disease
"suffering, physical"	disease
bright disease	disease
severe sepsis	disease
mechanical allodynia	disease
catalepsy	disease
transient ischemic attack	disease
hypotension	disease
nerve degeneration	disease
prenatal exposure delayed effects	disease
subarachnoid hemorrhage	disease
waxy flexibility	disease
middle cerebral artery syndrome	disease
ventricular dysfunction	disease
perinatal subarachnoid hemorrhage	disease
bradycardia	disease
posterior circulation transient ischemic attack	disease
"subarachnoid hemorrhage, spontaneous"	disease
middle cerebral artery thrombosis	disease
middle cerebral artery occlusion	disease
"infarction, middle cerebral artery"	disease
carotid circulation transient ischemic attack	disease
"transient ischemic attack, vertebrobasilar circulation"	disease
crescendo transient ischemic attacks	disease
"brain stem ischemia, transient"	disease
"subarachnoid hemorrhage, aneurysmal"	disease
middle cerebral artery embolus	disease
left middle cerebral artery infarction	disease
"embolic infarction, middle cerebral artery"	disease
"thrombotic infarction, middle cerebral artery"	disease
right middle cerebral artery infarction	disease
"subarachnoid hemorrhage, intracranial"	disease
transient cerebral ischemia	disease
"transient ischemic attack, anterior circulation"	disease
anxiety disorders	disease
rheumatoid arthritis	disease
endogenous depression	disease
sleep initiation and maintenance disorders	disease
melancholia	disease
panic disorder	disease
primary insomnia	disease
"psychoses, drug"	disease
"psychoses, substance-induced"	disease
reperfusion injury	disease
depressive syndrome	disease
panic attacks	disease
rebound insomnia	disease
"depression, neurotic"	disease
nonorganic insomnia	disease
"anxiety states, neurotic"	disease
transient insomnia	disease
early awakening	disease
chronic insomnia	disease
psychophysiological insomnia	disease
secondary insomnia	disease
sleep initiation dysfunction	disease
sleeplessness	disease
weight decreased	disease
anxiety neurosis (finding)	disease
neoplasm metastasis	disease
alopecia	disease
anemia	disease
dermatitis	disease
toxic epidermal necrolysis	disease
arterial fatty streak	disease
hepatitis	disease
kyphosis deformity of spine	disease
multiple myeloma	disease
stevens-johnson syndrome	disease
vitamin a deficiency	disease
pseudopelade	disease
androgenetic alopecia	disease
parkinsonian disorders	disease
ramsay hunt paralysis syndrome	disease
female pattern alopecia (disorder)	disease
atheroma	disease
autosomal dominant juvenile parkinson disease	disease
autosomal dominant parkinsonism	disease
autosomal recessive parkinsonism	disease
"parkinsonism, experimental"	disease
familial juvenile parkinsonism	disease
"parkinsonism, juvenile"	disease
drug-induced stevens johnson syndrome	disease
"parkinson disease 2, autosomal recessive juvenile"	disease
"ceroid lipofuscinosis, neuronal 1, infantile"	disease
fibroatheroma	disease
mycoplasma-induced stevens-johnson syndrome	disease
stevens-johnson syndrome toxic epidermal necrolysis spectrum	disease
"alopecia, male pattern"	disease
cannabis dependence	disease
cocaine abuse	disease
cocaine dependence	disease
ventricular remodeling	disease
left ventricle remodeling	disease
cocaine use	disease
epilepsy	disease
heart diseases	disease
"epilepsy, cryptogenic"	disease
aura	disease
awakening epilepsy	disease
cyanosis	disease
"epilepsy, familial adult myoclonic, 1"	disease
"epilepsy, myoclonic, benign adult familial, type 2"	disease
cardiovascular diseases	disease
diabetes mellitus	disease
myocardial reperfusion injury	disease
endomyocardial fibrosis	disease
aids dementia complex	disease
hiv infections	disease
hyperlipidemia	disease
hypokalemia	disease
hiv encephalopathy	disease
viral encephalitis	disease
hiv-1-associated cognitive motor complex	disease
lipidemias	disease
hiv coinfection	disease
congenital abnormality	disease
blastocyst disintegration	disease
"dermatitis, allergic contact"	disease
embryo loss	disease
embryo disintegration	disease
adenocarcinoma of large intestine	disease
manic disorder	disease
manic	disease
depressive symptoms	disease
"hepatoma, morris"	disease
"hepatoma, novikoff"	disease
"liver neoplasms, experimental"	disease
experimental hepatoma	disease
"alpha-fetoprotein, hereditary persistence of"	disease
alpha-fetoprotein deficiency	disease
aspartylglucosaminuria	disease
aspartylglucosamidase (aga) deficiency	disease
bagassosis	disease
pneumoconiosis	disease
"muscular dystrophy, facioscapulohumeral"	disease
"spondyloepiphyseal dysplasia, kimberley type"	disease
"spondyloepimetaphyseal dysplasia, aggrecan type"	disease
familial osteochondritis dissecans	disease
hyperglycemia	disease
hypertrophy	disease
neuralgia	disease
pancreatic diseases	disease
"neuralgia, supraorbital"	disease
"neuralgia, vidian"	disease
"neuralgia, atypical"	disease
"neuralgia, stump"	disease
peripheral nerve injuries	disease
"neuralgia, perineal"	disease
"neuralgia, iliohypogastric nerve"	disease
"neuralgia, ilioinguinal"	disease
nerve pain	disease
paroxysmal nerve pain	disease
lewy body disease	disease
"hyperglycemia, postprandial"	disease
glycogen storage disease type iii	disease
glycogen storage disease iiia	disease
glycogen storage disease iiib	disease
glycogen storage disease iiic	disease
glycogen storage disease iiid	disease
"amylo-1,6-glucosidase deficiency"	disease
bone diseases	disease
corneal opacity	disease
adenoid cystic carcinoma	disease
prelingual deafness	disease
deafness	disease
eye abnormalities	disease
glioblastoma	disease
salivary gland neoplasms	disease
tetralogy of fallot	disease
alagille syndrome	disease
"hearing loss, extreme"	disease
malignant neoplasm of salivary gland	disease
facies	disease
giant cell glioblastoma	disease
complete hearing loss	disease
"deafness, acquired"	disease
"carcinoma, pancreatic ductal"	disease
glioblastoma multiforme	disease
alagille syndrome 2	disease
alagille syndrome 1	disease
hepatic ductular hypoplasia	disease
bilateral deafness	disease
deaf mutism	disease
albuminuria	disease
alkalosis	disease
"aneurysm, dissecting"	disease
anuria	disease
aortic aneurysm	disease
cardiac arrhythmia	disease
"cardiomyopathy, alcoholic"	disease
carotid artery diseases	disease
cognition disorders	disease
sudden death	disease
diabetic nephropathy	disease
diabetic retinopathy	disease
iga glomerulonephritis	disease
nodular glomerulosclerosis	disease
diaphragmatic hernia	disease
malignant hypertension	disease
renal hypertension	disease
necrosis	disease
nephrosis	disease
drug overdose	disease
peptic ulcer hemorrhage	disease
pre-eclampsia	disease
proteinuria	disease
kidney failure	disease
retinopathy of prematurity	disease
thrombosis	disease
ureteral obstruction	disease
thrombus	disease
"aortic aneurysm, abdominal"	disease
cardiovascular abnormalities	disease
allanson pantzar mcleod syndrome	disease
impaired glucose tolerance	disease
dissection of aorta	disease
carotid atherosclerosis	disease
external carotid artery diseases	disease
internal carotid artery diseases	disease
"arterial diseases, common carotid"	disease
renal insufficiency	disease
renal tubular dysgenesis with choanal atresia and athelia	disease
neointima	disease
neointima formation	disease
"dissection, blood vessel"	disease
spontaneous abortion	disease
"abortion, tubal"	disease
patent ductus arteriosus	disease
pituitary adenoma	disease
pituitary neoplasms	disease
pituitary carcinoma	disease
patent ductus arteriosus familial	disease
corpus luteum cyst	disease
ovarian cysts	disease
vascular system injuries	disease
"carcinoma, lobular"	disease
diabetic cardiomyopathies	disease
"mental retardation, x-linked"	disease
"mental retardation, x-linked 1"	disease
"primary hyperoxaluria, type i"	disease
"gonadal dysgenesis, 46,xy"	disease
hypogonadism	disease
oligospermia	disease
disorders of sex development	disease
congenital hypoplasia of adrenal gland	disease
hypogonadotropic hypogonadism	disease
idiopathic hypogonadotropic hypogonadism	disease
x-linked adrenal hypoplasia	disease
xx males	disease
complex glycerol kinase deficiency	disease
primary hypogonadism	disease
dosage-sensitive sex reversal	disease
"hypoadrenocorticism, familial"	disease
"46, xx testicular disorders of sex development"	disease
swyer syndrome	disease
"hypogonadism, isolated hypogonadotropic"	disease
xp21 contiguous gene deletion syndrome	disease
"46,xy partial gonadal dysgenesis"	disease
"amino acid metabolism, inborn errors"	disease
hydrops fetalis	disease
adenocarcinoma of lung (disorder)	disease
hepatic methionine adenosyltransferase deficiency	disease
"amino acid metabolism, inherited disorders"	disease
glycine n-methyltransferase deficiency	disease
s-adenosylhomocysteine hydrolase deficiency	disease
hypermethioninemia	disease
"arthritis, adjuvant-induced"	disease
urinary bladder calculi (disorder)	disease
bone resorption	disease
contact dermatitis	disease
hyperventilation	disease
male infertility	disease
metabolic diseases	disease
nicotine dependence	disease
silicosis	disease
splenic diseases	disease
splenomegaly	disease
tachycardia	disease
tobacco dependence	disease
tobacco use disorder	disease
ureteral neoplasms	disease
vascular diseases	disease
tachyarrhythmia	disease
malignant neoplasm of ureter	disease
contact hypersensitivity	disease
hyperpigmentation	disease
chronobiology disorders	disease
dyslipidemias	disease
hyperoxia	disease
lung injury	disease
atrophic	disease
nicotine use disorder	disease
allergy to peanuts	disease
dyslipoproteinemias	disease
congenital nystagmus	disease
circadian rhythm disorders	disease
"subfertility, male"	disease
psychogenic inversion of circadian rhythm	disease
male sterility	disease
"arthritis, collagen-induced"	disease
"arthritis, experimental"	disease
chronic lung injury	disease
"pancreatic cancer, adult"	disease
calcinosis	disease
tumoral calcinosis	disease
microcalcification	disease
alopecia-mental retardation syndrome 1	disease
perniola krajewska carnevale syndrome	disease
parkinson disease	disease
trigeminal neuralgia	disease
"trigeminal neuralgia, idiopathic"	disease
secondary trigeminal neuralgia	disease
"malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"	disease
"lymphoma, lymphocytic, intermediate"	disease
"adenylate kinase deficiency, hemolytic anemia due to"	disease
severe combined immunodeficiency	disease
bare lymphocyte syndrome	disease
reticular dysgenesis	disease
de vaal's syndrome	disease
cannabis abuse	disease
adenocarcinoma of prostate	disease
malignant neoplasm of skin	disease
non-small cell lung carcinoma	disease
squamous cell carcinoma	disease
"hamartoma syndrome, multiple"	disease
hashish abuse	disease
hyperplasia	disease
acute promyelocytic leukemia	disease
marijuana abuse	disease
meningioma	disease
muscular atrophy	disease
osteosarcoma	disease
ovarian carcinoma	disease
adenomatous polyposis coli	disease
skin neoplasms	disease
t-cell lymphoma	disease
proteus syndrome	disease
cutaneous melanoma	disease
