node	type
fetal membranes, premature rupture	disease
fever	disease
fibromuscular dysplasia	disease
finger injuries	disease
fistula	disease
flank pain	disease
gastroenteritis	disease
gastrointestinal hemorrhage	disease
gastroschisis	disease
gingival diseases	disease
gingival recession	disease
granuloma	disease
granuloma, foreign-body	disease
granuloma, lethal midline	disease
hallucinations	disease
hearing loss	disease
hearing loss, bilateral	disease
hearing loss, sudden	disease
heart arrest	disease
heart rupture, post-infarction	disease
heart septal defects, atrial	disease
heart valve diseases	disease
heat stroke	disease
helicobacter infections	disease
hematoma	disease
hematoma, epidural, spinal	disease
hematoma, subdural	disease
hematoma, subdural, acute	disease
hemolytic-uremic syndrome	disease
hemoperitoneum	disease
hepatic encephalopathy	disease
heroin dependence	disease
hiv infections	disease
hydranencephaly	disease
hyperammonemia	disease
hypercalcemia	disease
hyperkalemia	disease
hypertension, pulmonary	disease
hypertensive encephalopathy	disease
hypesthesia	disease
hyphema	disease
hypokalemia	disease
hypokalemic periodic paralysis	disease
hypothermia	disease
hypothyroidism	disease
hypoxia, brain	disease
hypoxia-ischemia, brain	disease
iliac aneurysm	disease
infant, premature, diseases	disease
infarction	disease
infarction, posterior cerebral artery	disease
infection	disease
intestinal obstruction	disease
intracranial arterial diseases	disease
intracranial thrombosis	disease
intraoperative complications	disease
intussusception	disease
ischemia	disease
ischemic attack, transient	disease
jaundice	disease
keratitis	disease
kidney failure, chronic	disease
kidney tubular necrosis, acute	disease
kleeblattschaedel syndrome	disease
labyrinth diseases	disease
lacrimal duct obstruction	disease
language development disorders	disease
laryngeal diseases	disease
laryngeal edema	disease
lateral medullary syndrome	disease
lethargy	disease
leukocytosis	disease
leukoencephalopathies	disease
leukoencephalopathy, progressive multifocal	disease
limb deformities, congenital	disease
lip diseases	disease
liver failure	disease
long qt syndrome	disease
low back pain	disease
lung diseases, interstitial	disease
magnesium deficiency	disease
meconium aspiration syndrome	disease
mediastinal emphysema	disease
meningitis	disease
mental disorders diagnosed in childhood	disease
mesenteric vascular disease	disease
mesenteric vascular occlusion	disease
migraine disorders	disease
mitral valve insufficiency	disease
mobius syndrome	disease
mononeuropathies	disease
motor skills disorders	disease
mouth abnormalities	disease
mouth diseases	disease
moyamoya disease	disease
multiple organ failure	disease
muscle hypertonia	disease
muscle rigidity	disease
muscle spasticity	disease
muscle weakness	disease
mutism	disease
myasthenia gravis	disease
mydriasis	disease
myocardial stunning	disease
nasal obstruction	disease
neonatal abstinence syndrome	disease
neoplasms, fibrous tissue	disease
neurobehavioral manifestations	disease
neuroleptic malignant syndrome	disease
neuromuscular diseases	disease
neutropenia	disease
nose deformities, acquired	disease
nose diseases	disease
nose neoplasms	disease
obsessive-compulsive disorder	disease
obstetric labor, premature	disease
ocular motility disorders	disease
ophthalmoplegia	disease
optic nerve diseases	disease
oral fistula	disease
orbital cellulitis	disease
orbital diseases	disease
osteomyelitis	disease
osteonecrosis	disease
pancreatitis	disease
panniculitis	disease
papilledema	disease
paranasal sinus diseases	disease
paranoid disorders	disease
paresis	disease
paresthesia	disease
peptic ulcer perforation	disease
periodontal diseases	disease
peripheral vascular diseases	disease
peritonitis	disease
personality disorders	disease
photosensitivity disorders	disease
placenta accreta	disease
pneumopericardium	disease
pneumothorax	disease
poland syndrome	disease
postoperative complications	disease
pregnancy complications	disease
pregnancy complications, cardiovascular	disease
pregnancy complications, hematologic	disease
priapism	disease
psychomotor agitation	disease
psychomotor disorders	disease
psychoses, substance-induced	disease
puerperal disorders	disease
pulmonary arterial hypertension	disease
pulmonary edema	disease
pulmonary emphysema	disease
pulmonary infarction	disease
pupil disorders	disease
purpura, schoenlein-henoch	disease
purpura, thrombotic thrombocytopenic	disease
putaminal hemorrhage	disease
pyoderma gangrenosum	disease
quadriplegia	disease
raynaud disease	disease
reactive attachment disorder	disease
reflex sympathetic dystrophy	disease
renal artery obstruction	disease
respiration disorders	disease
respiratory distress syndrome, newborn	disease
respiratory insufficiency	disease
respiratory tract fistula	disease
retinal artery occlusion	disease
retinal diseases	disease
retroperitoneal fibrosis	disease
rhabdomyolysis	disease
rhinitis	disease
schizophrenia	disease
scleroderma, systemic	disease
scotoma	disease
self mutilation	disease
sensation disorders	disease
shock	disease
shock, cardiogenic	disease
sialometaplasia, necrotizing	disease
sialorrhea	disease
sinoatrial block	disease
sinus arrest, cardiac	disease
sinusitis	disease
skin diseases, vascular	disease
sleep deprivation	disease
sleep disorders	disease
spasm	disease
speech disorders	disease
spinal cord ischemia	disease
splenic infarction	disease
stereotypic movement disorder	disease
stomach ulcer	disease
stomatognathic diseases	disease
strabismus	disease
subarachnoid hemorrhage	disease
subcutaneous emphysema	disease
sudden infant death	disease
syncope	disease
syphilis, congenital	disease
systemic vasculitis	disease
tachycardia, sinus	disease
tachycardia, supraventricular	disease
takotsubo cardiomyopathy	disease
temporomandibular joint disorders	disease
temporomandibular joint dysfunction syndrome	disease
thrombocytopenia	disease
thrombocytosis	disease
tic disorders	disease
tooth erosion	disease
torticollis	disease
tremor	disease
trichotillomania	disease
ulcer	disease
unconsciousness	disease
upper extremity deformities, congenital	disease
urinary incontinence	disease
uterine rupture	disease
vascular diseases	disease
vascular headaches	disease
vasculitis, central nervous system	disease
venous insufficiency	disease
vertebrobasilar insufficiency	disease
wegener granulomatosis	disease
xerostomia	disease
cerebral palsy	disease
dementia	disease
mercury poisoning, nervous system	disease
nephrosis	disease
neurologic manifestations	disease
trauma, nervous system	disease
adenocarcinoma of lung	disease
adenocarcinoma, papillary	disease
adenoma	disease
adenoma, bile duct	disease
ageusia	disease
agricultural workers&apos; diseases	disease
alcohol withdrawal delirium	disease
alzheimer disease	disease
amblyopia	disease
anemia, aplastic	disease
anemia, hemolytic, autoimmune	disease
anemia, megaloblastic	disease
anemia, sickle cell	disease
anemia, sideroblastic	disease
anencephaly	disease
anus neoplasms	disease
aortic aneurysm, abdominal	disease
arthritis, psoriatic	disease
astrocytoma	disease
brain neoplasms	disease
carcinoma, renal cell	disease
carcinoma, squamous cell	disease
cataract	disease
central nervous system neoplasms	disease
cerebellar ataxia	disease
chromosome breakage	disease
colorectal neoplasms	disease
corneal opacity	disease
coronary restenosis	disease
diabetes mellitus	disease
ectodermal dysplasia	disease
endometrial hyperplasia	disease
esophageal achalasia	disease
esophageal neoplasms	disease
exfoliation syndrome	disease
fatty liver, alcoholic	disease
fibrosarcoma	disease
flushing	disease
gastritis	disease
gastrointestinal diseases	disease
genital neoplasms, male	disease
genomic instability	disease
glaucoma	disease
glycosylphosphatidylinositol deficiency	disease
hemangioma	disease
hematologic diseases	disease
hepatoblastoma	disease
histiocytoma, malignant fibrous	disease
hiv seropositivity	disease
hydrocephalus	disease
hyperhomocysteinemia	disease
laryngeal neoplasms	disease
leukemia	disease
leukemia, myeloid, acute	disease
leukemic infiltration	disease
lice infestations	disease
lower extremity deformities, congenital	disease
lymphoma, b-cell	disease
lymphoma, t-cell	disease
lymphoproliferative disorders	disease
malaria, falciparum	disease
maxillofacial abnormalities	disease
meningioma	disease
microsatellite instability	disease
mouth neoplasms	disease
mucositis	disease
multiple chemical sensitivity	disease
muscular diseases	disease
nasopharyngeal neoplasms	disease
neurilemmoma	disease
neurodegenerative diseases	disease
occupational diseases	disease
oligodendroglioma	disease
osteomalacia	disease
osteoporosis	disease
papilloma	disease
pharyngeal neoplasms	disease
polyneuropathies	disease
psoriasis	disease
psychophysiologic disorders	disease
retinal degeneration	disease
retinoblastoma	disease
scabies	disease
spinal cord diseases	disease
spinal dysraphism	disease
sprue, tropical	disease
thymus neoplasms	disease
tongue neoplasms	disease
toxoplasmosis	disease
uremia	disease
wilms tumor	disease
abdominal neoplasms	disease
acidosis, lactic	disease
acidosis, respiratory	disease
acrodynia	disease
acute disease	disease
acute lung injury	disease
adenoma, islet cell	disease
adrenal gland neoplasms	disease
alcohol-related disorders	disease
alkalosis	disease
amnesia, retrograde	disease
anisometropia	disease
apraxias	disease
arnold-chiari malformation	disease
arteritis	disease
ascites	disease
astigmatism	disease
ataxia telangiectasia	disease
back pain	disease
blindness, cortical	disease
bone diseases, metabolic	disease
brain diseases, metabolic	disease
breast neoplasms, male	disease
camptocormia	disease
carcinoma, ductal, breast	disease
carcinoma, non-small-cell lung	disease
carcinoma, pancreatic ductal	disease
carcinoma, transitional cell	disease
cardiovirus infections	disease
cartilage diseases	disease
cecal diseases	disease
cholecystitis	disease
cholelithiasis	disease
choroid diseases	disease
conduct disorder	disease
consciousness disorders	disease
corneal diseases	disease
craniosynostoses	disease
cystic fibrosis	disease
dandy-walker syndrome	disease
dermatitis	disease
dermatitis, allergic contact	disease
dermatitis, atopic	disease
dermatitis, irritant	disease
dermatofibrosarcoma	disease
dermatomyositis	disease
diabetes complications	disease
diabetic cardiomyopathies	disease
diabetic ketoacidosis	disease
diabetic retinopathy	disease
double outlet right ventricle	disease
drug overdose	disease
dysarthria	disease
dyskinesias	disease
dyspareunia	disease
dysphonia	disease
ear diseases	disease
embolism	disease
embolism, fat	disease
endocardial cushion defects	disease
endocrine system diseases	disease
enuresis	disease
epidermal necrolysis, toxic	disease
epilepsies, partial	disease
epilepsy, complex partial	disease
epilepsy, generalized	disease
epilepsy, reflex	disease
epilepsy, rolandic	disease
epilepsy, temporal lobe	disease
erythema multiforme	disease
esophagitis, peptic	disease
essential tremor	disease
female urogenital diseases	disease
fetal resorption	disease
fibroadenoma	disease
fibromatosis, abdominal	disease
gait ataxia	disease
gait disorders, neurologic	disease
glaucoma, angle-closure	disease
glomerulonephritis, membranous	disease
gout	disease
granulosa cell tumor of the ovary	disease
hair diseases	disease
hemorrhagic disorders	disease
hepatitis, chronic	disease
hernia	disease
hyperemia	disease
hypergammaglobulinemia	disease
hyperlipidemia, familial combined	disease
hyperlipoproteinemias	disease
hyperlipoproteinemia type ii	disease
hyperlipoproteinemia type iv	disease
hyperoxaluria	disease
hypersensitivity	disease
hypertelorism	disease
hyperuricemia	disease
hyponatremia	disease
hypoplastic left heart syndrome	disease
immunoproliferative disorders	disease
inappropriate adh syndrome	disease
influenza, human	disease
intellectual disability	disease
intracranial embolism	disease
intracranial hypertension	disease
keloid	disease
ketosis	disease
leukopenia	disease
lipid metabolism disorders	disease
lipidoses	disease
lipomyelomeningocele	disease
lupus erythematosus, cutaneous	disease
lymphangiectasis, intestinal	disease
lymphoma, t-cell, cutaneous	disease
macular edema	disease
malformations of cortical development	disease
massive hepatic necrosis	disease
melanoma, amelanotic	disease
melas syndrome	disease
meningocele	disease
meningomyelocele	disease
micrognathism	disease
migraine with aura	disease
migraine without aura	disease
mitochondrial diseases	disease
mitochondrial myopathies	disease
mixed tumor, mullerian	disease
multiple myeloma	disease
muscle hypotonia	disease
musculoskeletal diseases	disease
myelodysplastic syndromes	disease
myoclonic epilepsy, juvenile	disease
myoglobinuria	disease
myositis	disease
neoplasm recurrence, local	disease
nephrosis, lipoid	disease
nephrotic syndrome	disease
nerve sheath neoplasms	disease
neurogenic bowel	disease
neurogenic inflammation	disease
neuromuscular manifestations	disease
niemann-pick disease, type c	disease
nocturnal enuresis	disease
nystagmus, congenital	disease
nystagmus, pathologic	disease
optic neuritis	disease
pain, postoperative	disease
pancreatic pseudocyst	disease
pancytopenia	disease
panniculitis, peritoneal	disease
papillomavirus infections	disease
parkinson disease, secondary	disease
parkinsonian disorders	disease
pericarditis	disease
pheochromocytoma	disease
pleural effusion	disease
pleural neoplasms	disease
poems syndrome	disease
polymyositis	disease
porphyria, acute intermittent	disease
postoperative hemorrhage	disease
protein deficiency	disease
pseudolymphoma	disease
pseudotumor cerebri	disease
red-cell aplasia, pure	disease
renal hypouricemia	disease
retinitis pigmentosa	disease
reye syndrome	disease
rhabdomyosarcoma	disease
schistosomiasis japonica	disease
schistosomiasis mansoni	disease
scleroderma, localized	disease
seizures, febrile	disease
signs and symptoms, digestive	disease
skin abnormalities	disease
spasms, infantile	disease
spina bifida cystica	disease
spina bifida occulta	disease
spinal cord injuries	disease
stevens-johnson syndrome	disease
stress disorders, post-traumatic	disease
stupor	disease
stuttering	disease
syndrome	disease
systemic carnitine deficiency	disease
tension-type headache	disease
tinnitus	disease
tongue diseases	disease
translocation, genetic	disease
transposition of great vessels	disease
twins, conjoined	disease
unverricht-lundborg syndrome	disease
urinary bladder diseases	disease
urinary bladder, neurogenic	disease
uterine prolapse	disease
valproic acid antenatal infection	disease
vasculitis, leukocytoclastic, cutaneous	disease
abducens nerve diseases	disease
alcohol withdrawal seizures	disease
anemia, hypochromic	disease
arthritis, gouty	disease
arthritis, rheumatoid	disease
azotemia	disease
behcet syndrome	disease
calcinosis	disease
cardiomyopathy, alcoholic	disease
central nervous system infections	disease
cholangitis	disease
dermatitis, exfoliative	disease
duodenal ulcer	disease
end stage liver disease	disease
extravasation of diagnostic and therapeutic materials	disease
facial paralysis	disease
fibromyalgia	disease
gingival hyperplasia	disease
gingival hypertrophy	disease
gingival overgrowth	disease
gingivitis	disease
graft vs host disease	disease
guillain-barre syndrome	disease
hemoglobinuria, paroxysmal	disease
hemostatic disorders	disease
hepatic veno-occlusive disease	disease
hepatitis b, chronic	disease
hepatitis c	disease
hyperbilirubinemia	disease
hypertension, renal	disease
hypertrichosis	disease
hypervitaminosis a	disease
immune suppression	disease
jaundice, neonatal	disease
keratoconjunctivitis sicca	disease
kidney calculi	disease
metabolic diseases	disease
metal metabolism, inborn errors	disease
monosomy	disease
multicystic dysplastic kidney	disease
myoclonic epilepsies, progressive	disease
nails, malformed	disease
nephrocalcinosis	disease
nephrosis, congenital	disease
neuralgia	disease
oral ulcer	disease
organophosphate poisoning	disease
osteosarcoma	disease
pain, intractable	disease
pancreatitis, chronic	disease
pemphigus	disease
polyploidy	disease
posterior leukoencephalopathy syndrome	disease
precursor t-cell lymphoblastic leukemia-lymphoma	disease
premenstrual syndrome	disease
protozoan infections, animal	disease
purpura, thrombocytopenic, idiopathic	disease
recurrence	disease
retinal vein occlusion	disease
scleroderma, diffuse	disease
serotonin syndrome	disease
spermatic cord torsion	disease
stomatitis, aphthous	disease
sturge-weber syndrome	disease
thrombotic microangiopathies	disease
thyroid cancer, follicular	disease
tourette syndrome	disease
trisomy	disease
urolithiasis	disease
uveitis	disease
uveitis, posterior	disease
vacuolar myopathy	disease
vascular system injuries	disease
vitamin b 12 deficiency	disease
xerophthalmia	disease
abnormalities, severe teratoid	disease
airway obstruction	disease
alcohol-induced disorders	disease
bile duct diseases	disease
biliary tract diseases	disease
cardiac output, high	disease
crohn disease	disease
drug-induced liver injury, chronic	disease
headache disorders	disease
hyperesthesia	disease
hyperventilation	disease
hypoalbuminemia	disease
hypovolemia	disease
kidney papillary necrosis	disease
male urogenital diseases	disease
methemoglobinemia	disease
oliguria	disease
osteoarthritis	disease
postoperative nausea and vomiting	disease
purpura fulminans	disease
respiratory hypersensitivity	disease
respiratory tract infections	disease
spondylosis	disease
ureteral neoplasms	disease
urologic diseases	disease
urticaria	disease
abscess	disease
accutane embryopathy	disease
acidosis, renal tubular	disease
acneiform eruptions	disease
acrodermatitis	disease
acth deficiency, isolated	disease
actinomycetales infections	disease
acute-phase reaction	disease
adams-stokes syndrome	disease
adenocarcinoma, bronchiolo-alveolar	disease
